'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
Flight,'Scheduled Revenue Flight',Mountains,1,2,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',9,91,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',7,9,0-10,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,2,8,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
Flight,Private,'Plain, Valley',1,3,0-10,Weather
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,102,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,13,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,7,0-10,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',1,9,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,5,0-10,Weather
Flight,Executive/Corporate/Business,'Plain, Valley',1,3,0-10,Unknown
'Takeoff (climb)','Survey / Patrol / Reconnaissance','Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',1,1,0-10,'Human factor'
Flight,Ferry,'Plain, Valley',2,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,Weather
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,9,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
'Landing (descent or approach)',Training,'Plain, Valley',4,0,0-10,'Technical failure'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',3,11,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,82,0-10,'Human factor'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',6,29,0-10,'Technical failure'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',1,4,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,10,0-10,'Technical failure'
Flight,Cargo,Mountains,1,0,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,3,0-10,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',2,8,0-10,Weather
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,City,1,6,0-10,Unknown
