'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
Flight,'Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,3,2,13,7,0,9,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Oceania,0,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',5,0,85,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,3,0,0,0,'Terrorism act, Hijacking, Sabotage'
Flight,Military,NA,'Plain, Valley',Africa,0,0,0,0,0,0,'Terrorism act, Hijacking, Sabotage'
Parking,Military,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',2,0,14,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,Mountains,'Central America',3,3,20,20,0,23,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,11,0,0,0,'Technical failure'
'Landing (descent or approach)','Illegal (smuggling)',NA,'Plain, Valley','Central America',0,0,0,0,0,0,Unknown
'Takeoff (climb)',Military,No,Mountains,'South America',3,3,22,22,0,25,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Europe,1,1,2,2,0,3,Unknown
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,3,3,16,16,0,19,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Plain, Valley',Asia,5,0,25,0,0,0,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',0,0,0,0,0,0,Unknown
Flight,Military,No,'Plain, Valley',Africa,5,5,23,23,0,28,Weather
'Takeoff (climb)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)',Asia,2,0,13,3,0,3,'Other causes'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,Weather
Flight,'Spraying (Agricultural)',Yes,'Plain, Valley',Asia,1,0,0,0,0,0,Unknown
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,1,1,0,0,1,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,'Plain, Valley',Asia,3,3,1,1,0,4,'Human factor'
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Europe,8,8,0,0,0,8,Unknown
'Landing (descent or approach)',Government,Yes,'Airport (less than 10 km from airport)','North America',2,0,4,0,0,0,Unknown
Flight,Cargo,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)','South America',4,4,11,11,0,15,'Human factor'
Flight,Military,No,'Plain, Valley',Africa,4,4,0,0,0,4,'Terrorism act, Hijacking, Sabotage'
Flight,Military,Yes,'Plain, Valley','South America',5,2,33,18,0,20,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Europe,7,0,82,0,0,0,'Human factor'
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)',Africa,5,5,24,24,0,29,Unknown
'Landing (descent or approach)',Cargo,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
Flight,Military,NA,NA,Asia,0,0,0,0,0,0,Unknown
Flight,Supply,Yes,'Plain, Valley',Antarctica,4,0,0,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Europe,0,0,0,0,0,0,Unknown
Flight,Cargo,Yes,'Plain, Valley','North America',1,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Landing (descent or approach)',Demonstration,Yes,'Airport (less than 10 km from airport)',Asia,2,0,5,0,0,0,'Human factor'
Flight,Training,Yes,'Plain, Valley',Europe,2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,Weather
